,id,Mrs,Ms,Hc,Xhf,Q,Qeff,Hcr,site,hole,core,section,interval,top [cm],bottom [cm],lithology principal name,top depth csf-a (m)
74,U1450A048F1134,0.03601325900308207,0.08709176401729246,0.03473242104599941,1.0530765660042107,6.073228695908646,4.108977244825288,0.05710217706382221,U1450,A,48,1,13,0,32,clay,229.24
75,U1450A062F2103,1.9784132274601166e-05,4.4711640552311184e-05,0.03358187463562656,0.0008733465855048187,6.001123519096942,3.576996313646618,0.0582170776228874,U1450,A,62,2,10,0,145,clay,296.88
76,U1450A076F1058,3.872701035809494e-05,0.00014167184550850425,0.017310424839059313,0.0009702947300620051,5.998351103307351,4.454708296007109,0.04555818632119672,U1450,A,76,1,5,0,10,calcareous clay,361.48
77,U1450A082F1064,0.002305556729631643,0.02868818393943079,0.018753534627889677,0.6670816476889352,6.114975928914167,3.5310076539259554,0.02948598651792353,U1450,A,82,1,6,0,145,calcareous clay,389.94
78,U1450A092F2111,1.9813903752709993e-05,7.155932122731868e-05,0.014414426195752394,0.000537725536307485,5.905474221698476,4.405186292777053,0.027782830842568027,U1450,A,92,2,11,0,45,calcareous clay,439.31
79,U1450A106F1062,0.015599668877921597,0.06760564815383296,0.022342323619737568,0.7486246042720485,6.155212177549446,4.082840377091931,0.04318675193184181,U1450,A,106,1,6,0,20,clay,
80,U1451A001H3043,1.1785354236514796e-05,4.1775653138333726e-05,0.014536934969260229,0.0001778669295572021,6.133756139056892,4.998917250842435,0.03130481702741609,U1451,A,1,3,4,0,103,calcareous clay,3.43
81,U1451A002F2075,1.1494566728532168e-07,9.524215966244602e-07,0.018508862999015847,1.973849822541159e-05,5.100464948676784,2.8191136296490025,0.03630057656248781,U1451,A,2,2,7,0,22,calcareous clay,
82,U1451A005H4080,8.831004411263293e-07,1.1174315697637911e-05,0.00663938099282424,1.4930478939829163e-05,5.1539387653638435,4.616408151876234,0.029174095847870646,U1451,A,5,4,8,0,33,clay,
83,U1451A013F2060,5.726293032211458e-07,2.4350256122834983e-06,0.010999668498873794,2.2503682142082137e-05,4.400011600304773,2.8943154037013525,0.043780254942350244,U1451,A,13,2,6,0,11,sand,71.79
84,U1451A013F2060,5.726293032211458e-07,2.4350256122834983e-06,0.010999668498873794,2.2503682142082137e-05,4.400011600304773,2.8943154037013525,0.043780254942350244,U1451,A,13,2,6,0,11,sand,71.79
85,U1451A015F1093,5.856780919092535e-08,2.2703383275104338e-07,-0.0032470000946562662,5.867412206890672e-06,4.08883597371193,1.7259355027344432,0.032876272893801406,U1451,A,15,1,9,0,145,calcareous clay,80.03
86,U1451A015F1093,5.856780919092535e-08,2.2703383275104338e-07,-0.0032470000946562662,5.867412206890672e-06,4.08883597371193,1.7259355027344432,0.032876272893801406,U1451,A,15,1,9,0,145,,80.03
87,U1451A015F1093,5.856780919092535e-08,2.2703383275104338e-07,-0.0032470000946562662,5.867412206890672e-06,4.08883597371193,1.7259355027344432,0.032876272893801406,U1451,A,15,1,9,0,145,calcareous clay,80.03
88,U1451A015F1093,5.856780919092535e-08,2.2703383275104338e-07,-0.0032470000946562662,5.867412206890672e-06,4.08883597371193,1.7259355027344432,0.032876272893801406,U1451,A,15,1,9,0,145,,80.03
89,U1451A015F3094,-3.48676486126382e-09,3.9577180691427475e-07,0.0527505193814376,5.22170549025834e-06,3.428269416645345,1.6345978971929005,0.03300840561331265,U1451,A,15,3,9,0,111,calcareous clay,83.04
90,U1451A015F3094,-3.48676486126382e-09,3.9577180691427475e-07,0.0527505193814376,5.22170549025834e-06,3.428269416645345,1.6345978971929005,0.03300840561331265,U1451,A,15,3,9,0,111,,83.04
91,U1451A015F3094,-3.48676486126382e-09,3.9577180691427475e-07,0.0527505193814376,5.22170549025834e-06,3.428269416645345,1.6345978971929005,0.03300840561331265,U1451,A,15,3,9,0,111,calcareous clay,83.04
92,U1451A015F3094,-3.48676486126382e-09,3.9577180691427475e-07,0.0527505193814376,5.22170549025834e-06,3.428269416645345,1.6345978971929005,0.03300840561331265,U1451,A,15,3,9,0,111,,83.04
93,U1451A017F2033,7.136529738446652e-06,4.9260318226585355e-05,0.01293155652859812,0.0009037465634861083,6.015260107274533,3.673232531835396,0.027746826114332584,U1451,A,17,2,3,0,71,calcareous clay,90.33
94,U1451A019F3075,4.2196047238642185e-07,2.4794645200910067e-06,0.022385237648464208,2.406188033510378e-05,5.325692575697865,3.643997406414635,0.03875318641406611,U1451,A,19,3,7,0,22,clay,101.65
95,U1451A019F3075,4.2196047238642185e-07,2.4794645200910067e-06,0.022385237648464208,2.406188033510378e-05,5.325692575697865,3.643997406414635,0.03875318641406611,U1451,A,19,3,7,0,22,clay,101.65
96,U1451A024H4030,1.3405989135371662e-07,3.1138418361139347e-07,1.3170992019107752,1.0285721027178824e-05,4.51064737531776,1.8620382265178639,0.030437059093186204,U1451,A,24,4,3,0,100,calcareous clay,135.3
97,U1451A024H4030,1.3405989135371662e-07,3.1138418361139347e-07,1.3170992019107752,1.0285721027178824e-05,4.51064737531776,1.8620382265178639,0.030437059093186204,U1451,A,24,4,3,0,100,,135.3
98,U1451A024H4030,1.3405989135371662e-07,3.1138418361139347e-07,1.3170992019107752,1.0285721027178824e-05,4.51064737531776,1.8620382265178639,0.030437059093186204,U1451,A,24,4,3,0,100,calcareous clay,135.3
99,U1451A024H4030,1.3405989135371662e-07,3.1138418361139347e-07,1.3170992019107752,1.0285721027178824e-05,4.51064737531776,1.8620382265178639,0.030437059093186204,U1451,A,24,4,3,0,100,,135.3
100,U1451A026H1034,-4.180006655201177e-09,2.8660483898564725e-07,0.2253640516609539,7.072852660504755e-06,4.269395971607852,1.9343397199967696,0.03527310526537244,U1451,A,26,1,3,0,150,calcareous clay,
101,U1451A026H1034,-4.180006655201177e-09,2.8660483898564725e-07,0.2253640516609539,7.072852660504755e-06,4.269395971607852,1.9343397199967696,0.03527310526537244,U1451,A,26,1,3,0,150,calcareous clay,
102,U1451A026H3049,1.4088903949162356e-07,1.0779159757722343e-06,0.00017130123526287733,1.947697512392264e-05,5.002665742260866,2.9984580813358415,0.04003282904059056,U1451,A,26,3,4,0,109,calcareous clay,152.48
103,U1451A026H3049,1.4088903949162356e-07,1.0779159757722343e-06,0.00017130123526287733,1.947697512392264e-05,5.002665742260866,2.9984580813358415,0.04003282904059056,U1451,A,26,3,4,0,109,calcareous clay,152.48
104,U1451A062F1121,-2.732688971877572e-09,4.5402102110362785e-07,0.006500677205755811,1.2733436679546149e-05,4.580297355090566,2.1144013536178834,0.03351867805459774,U1451,A,62,1,12,0,150,calcareous clay,345.91
105,U1451A062F1121,-2.732688971877572e-09,4.5402102110362785e-07,0.006500677205755811,1.2733436679546149e-05,4.580297355090566,2.1144013536178834,0.03351867805459774,U1451,A,62,1,12,0,150,calcareous clay,345.91
106,U1451A070F1102,5.663136322103821e-07,4.153038327423628e-06,0.009962212520599367,2.151252402898821e-05,5.223164512352725,4.086228358218845,0.036135528361834576,U1451,A,70,1,10,0,57,calcareous clay,383.72
